"","date","infect_count"
"1","2022-01-01",69579
"2","2022-01-02",75737
"3","2022-01-03",86947
"4","2022-01-04",101263
"5","2022-01-05",113474
"6","2022-01-06",119684
"7","2022-01-07",130684
"8","2022-01-08",137211
"9","2022-01-09",151000
"10","2022-01-10",164526
"11","2022-01-11",171579
"12","2022-01-12",181684
"13","2022-01-13",191105
"14","2022-01-14",200895
"15","2022-01-15",208421
"16","2022-01-16",204211
"17","2022-01-17",213000
"18","2022-01-18",220526
"19","2022-01-19",216789
"20","2022-01-20",213737
"21","2022-01-21",216526
"22","2022-01-22",211895
"23","2022-01-23",205316
"24","2022-01-24",206526
"25","2022-01-25",211421
"26","2022-01-26",200789
"27","2022-01-27",192158
"28","2022-01-28",186158
"29","2022-01-29",181105
"30","2022-01-30",171474
"31","2022-01-31",170211
"32","2022-02-01",171263
"33","2022-02-02",154737
"34","2022-02-03",147684
"35","2022-02-04",138684
"36","2022-02-05",131263
"37","2022-02-06",121895
"38","2022-02-07",119474
"39","2022-02-08",118684
"40","2022-02-09",108368
"41","2022-02-10",100158
"42","2022-02-11",96316
"43","2022-02-12",90105
"44","2022-02-13",79842
"45","2022-02-14",79684
"46","2022-02-15",82211
"47","2022-02-16",75263
"48","2022-02-17",71105
"49","2022-02-18",67684
"50","2022-02-19",62684
"51","2022-02-20",59263
"52","2022-02-21",59211
"53","2022-02-22",59947
"54","2022-02-23",58474
"55","2022-02-24",56105
"56","2022-02-25",53316
"57","2022-02-26",54421
"58","2022-02-27",48000
"59","2022-02-28",47421
"60","2022-03-01",48158
"61","2022-03-02",44579
"62","2022-03-03",44053
"63","2022-03-04",43368
"64","2022-03-05",42053
"65","2022-03-06",40105
"66","2022-03-07",40053
"67","2022-03-08",41211
"68","2022-03-09",39737
"69","2022-03-10",38632
"70","2022-03-11",37368
"71","2022-03-12",38158
"72","2022-03-13",35737
"73","2022-03-14",36211
"74","2022-03-15",36526
"75","2022-03-16",34368
"76","2022-03-17",33947
"77","2022-03-18",33105
"78","2022-03-19",32789
"79","2022-03-20",31421
"80","2022-03-21",33263
"81","2022-03-22",35158
"82","2022-03-23",33211
"83","2022-03-24",35158
"84","2022-03-25",35526
"85","2022-03-26",37579
"86","2022-03-27",34684
"87","2022-03-28",40421
"88","2022-03-29",41789
"89","2022-03-30",41474
"90","2022-03-31",42526
"91","2022-04-01",42421
"92","2022-04-02",45053
"93","2022-04-03",47053
"94","2022-04-04",51368
"95","2022-04-05",58316
